Subject	Asia	Europe	Latin America	Africa	Northern America	Oceania	Total
Foreign-born population	10355577	4969090	20150245	1435996	826871	222994	37960935
CITIZENSHIP AND PERIOD OF ENTRY							
Naturalized citizen	57.50%	60.30%	31.40%	42.80%	44.70%	34.00%	43.00%
Entered 2000 or later	4.30%	3.30%	2.00%	6.80%	1.60%	3.40%	3.00%
Entered 1990 to 1999	17.10%	14.50%	6.60%	16.50%	6.70%	8.40%	10.90%
Entered before 1990	36.10%	42.60%	22.70%	19.50%	36.40%	22.20%	29.10%
							
Not a citizen	42.50%	39.70%	68.60%	57.20%	55.30%	66.00%	57.00%
Entered 2000 or later	25.80%	17.30%	28.50%	38.00%	21.80%	34.70%	26.50%
Entered 1990 to 1999	10.90%	10.70%	23.30%	14.00%	14.20%	15.50%	17.70%
Entered before 1990	5.80%	11.70%	16.90%	5.10%	19.30%	15.80%	12.80%
							
SCHOOL ENROLLMENT							
Population 3 years and over enrolled in school	1710209	630771	2488863	395066	114655	38967	5378531
Nursery school, preschool	2.10%	2.60%	1.20%	1.30%	2.60%	3.70%	1.70%
Elementary school (grades K-8)	22.00%	26.00%	34.90%	22.40%	28.20%	33.90%	28.70%
High school (grades 9-12)	15.10%	19.10%	27.70%	16.30%	16.90%	17.50%	21.60%
College or graduate school	60.80%	52.20%	36.10%	60.00%	52.40%	44.90%	48.00%
							
EDUCATIONAL ATTAINMENT							
Population 25 years and over	8909119	4380145	16549566	1126839	721442	180257	31867530
Less than high school graduate	16.40%	15.90%	48.10%	12.00%	10.70%	14.90%	32.50%
High school graduate (includes equivalency)	16.50%	24.50%	24.40%	18.60%	20.00%	25.30%	21.90%
Some college or associate's degree	18.50%	23.60%	16.00%	27.40%	28.80%	28.60%	18.50%
Bachelor's degree	28.50%	18.30%	7.80%	24.90%	22.90%	19.70%	16.10%
Graduate or professional degree	20.10%	17.60%	3.70%	17.10%	17.60%	11.50%	11.00%
							
EMPLOYMENT STATUS							
Population 16 years and over	9779801	4733794	18912792	1307858	777594	202795	35714796
In labor force	67.50%	58.40%	72.10%	76.50%	58.30%	70.60%	68.90%
Civilian labor force	67.20%	58.30%	71.90%	76.30%	58.10%	70.00%	68.70%
Employed	63.80%	55.60%	67.30%	71.20%	56.10%	66.10%	64.70%
Unemployed	3.40%	2.70%	4.60%	5.10%	1.90%	3.90%	4.00%
Percent of civilian labor force	5.00%	4.60%	6.40%	6.70%	3.30%	5.60%	5.80%
Armed Forces	0.20%	0.10%	0.20%	0.20%	0.20%	0.60%	0.20%
Not in labor force	32.50%	41.60%	27.90%	23.50%	41.70%	29.40%	31.10%
							
OCCUPATION							
Management, professional, and related occupations	47.00%	43.50%	13.70%	38.60%	56.60%	39.00%	28.10%
Service occupations	16.50%	16.40%	28.80%	22.30%	9.10%	19.70%	23.40%
Sales and office occupations	21.40%	20.40%	15.50%	20.20%	23.20%	22.60%	18.00%
Construction, extraction, maintenance, and repair occupations	3.60%	8.80%	18.60%	3.90%	5.20%	6.50%	12.50%
Production, transportation, and material moving occupations	11.30%	10.70%	20.10%	14.90%	5.80%	11.80%	16.10%
							
EARNINGS IN THE PAST 12 MONTHS (IN 2008 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS							
Population 16 years and over with earnings	4630739	1888833	9303502	663560	308813	98051	16893660
$1 to $9,999 or loss	2.10%	1.60%	3.30%	2.10%	1.30%	2.50%	2.70%
$10,000 to $14,999	4.30%	2.80%	10.80%	4.80%	1.90%	3.40%	7.70%
$15,000 to $24,999	14.70%	11.10%	31.30%	18.90%	7.70%	15.30%	23.50%
$25,000 to $34,999	13.90%	14.60%	21.00%	18.10%	10.50%	17.00%	18.00%
$35,000 to $49,999	17.60%	19.50%	17.20%	20.50%	16.70%	17.60%	17.70%
$50,000 to $74,999	20.00%	21.10%	10.50%	17.50%	22.30%	18.10%	14.80%
$75,000 or more	27.40%	29.20%	5.90%	18.20%	39.50%	26.00%	15.60%
							
POVERTY STATUS IN THE PAST 12 MONTHS							
Population for whom poverty status is determined	10206439	4887059	19875260	1411793	805543	218912	37405168
Below 100 percent of the poverty level	11.70%	9.20%	20.10%	16.90%	8.80%	13.20%	16.00%
100 to 199 percent of the poverty level	15.30%	13.90%	30.80%	20.40%	10.80%	15.60%	23.50%
At or above 200 percent of the poverty level	73.00%	76.90%	49.10%	62.70%	80.30%	71.10%	60.60%
							
Occupied housing units	4067921	2361981	7699779	622946	403939	83595	15240259
HOUSING TENURE							
Owner-occupied housing units	58.00%	68.30%	47.00%	42.60%	72.20%	54.90%	53.70%
Renter-occupied housing units	42.00%	31.70%	53.00%	57.40%	27.80%	45.10%	46.30%
							
Average household size of owner-occupied unit	3.46	2.58	4	3.64	2.43	3.48	3.5
Average household size of renter-occupied unit	2.68	2.05	3.56	2.76	1.98	3.04	3.12
							
SELECTED CHARACTERISTICS							
Linguistically isolated households	27.50%	19.60%	39.30%	17.00%	3.00%	8.90%	31.10%
