GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Total; Estimate; Total population
HC01_MOE_VC01,Total; Margin of Error; Total population
HC02_EST_VC01,Native; Estimate; Total population
HC02_MOE_VC01,Native; Margin of Error; Total population
HC03_EST_VC01,Foreign born; Estimate; Total population
HC03_MOE_VC01,Foreign born; Margin of Error; Total population
HC04_EST_VC01,Foreign born; Naturalized citizen; Estimate; Total population
HC04_MOE_VC01,Foreign born; Naturalized citizen; Margin of Error; Total population
HC05_EST_VC01,Foreign born; Not a U.S. citizen; Estimate; Total population
HC05_MOE_VC01,Foreign born; Not a U.S. citizen; Margin of Error; Total population
HC01_EST_VC03,Total; Estimate; SEX AND AGE - Male
HC01_MOE_VC03,Total; Margin of Error; SEX AND AGE - Male
HC02_EST_VC03,Native; Estimate; SEX AND AGE - Male
HC02_MOE_VC03,Native; Margin of Error; SEX AND AGE - Male
HC03_EST_VC03,Foreign born; Estimate; SEX AND AGE - Male
HC03_MOE_VC03,Foreign born; Margin of Error; SEX AND AGE - Male
HC04_EST_VC03,Foreign born; Naturalized citizen; Estimate; SEX AND AGE - Male
HC04_MOE_VC03,Foreign born; Naturalized citizen; Margin of Error; SEX AND AGE - Male
HC05_EST_VC03,Foreign born; Not a U.S. citizen; Estimate; SEX AND AGE - Male
HC05_MOE_VC03,Foreign born; Not a U.S. citizen; Margin of Error; SEX AND AGE - Male
HC01_EST_VC04,Total; Estimate; SEX AND AGE - Female
HC01_MOE_VC04,Total; Margin of Error; SEX AND AGE - Female
HC02_EST_VC04,Native; Estimate; SEX AND AGE - Female
HC02_MOE_VC04,Native; Margin of Error; SEX AND AGE - Female
HC03_EST_VC04,Foreign born; Estimate; SEX AND AGE - Female
HC03_MOE_VC04,Foreign born; Margin of Error; SEX AND AGE - Female
HC04_EST_VC04,Foreign born; Naturalized citizen; Estimate; SEX AND AGE - Female
HC04_MOE_VC04,Foreign born; Naturalized citizen; Margin of Error; SEX AND AGE - Female
HC05_EST_VC04,Foreign born; Not a U.S. citizen; Estimate; SEX AND AGE - Female
HC05_MOE_VC04,Foreign born; Not a U.S. citizen; Margin of Error; SEX AND AGE - Female
HC01_EST_VC06,Total; Estimate; Under 5 years
HC01_MOE_VC06,Total; Margin of Error; Under 5 years
HC02_EST_VC06,Native; Estimate; Under 5 years
HC02_MOE_VC06,Native; Margin of Error; Under 5 years
HC03_EST_VC06,Foreign born; Estimate; Under 5 years
HC03_MOE_VC06,Foreign born; Margin of Error; Under 5 years
HC04_EST_VC06,Foreign born; Naturalized citizen; Estimate; Under 5 years
HC04_MOE_VC06,Foreign born; Naturalized citizen; Margin of Error; Under 5 years
HC05_EST_VC06,Foreign born; Not a U.S. citizen; Estimate; Under 5 years
HC05_MOE_VC06,Foreign born; Not a U.S. citizen; Margin of Error; Under 5 years
HC01_EST_VC07,Total; Estimate; 5 to 17 years
HC01_MOE_VC07,Total; Margin of Error; 5 to 17 years
HC02_EST_VC07,Native; Estimate; 5 to 17 years
HC02_MOE_VC07,Native; Margin of Error; 5 to 17 years
HC03_EST_VC07,Foreign born; Estimate; 5 to 17 years
HC03_MOE_VC07,Foreign born; Margin of Error; 5 to 17 years
HC04_EST_VC07,Foreign born; Naturalized citizen; Estimate; 5 to 17 years
HC04_MOE_VC07,Foreign born; Naturalized citizen; Margin of Error; 5 to 17 years
HC05_EST_VC07,Foreign born; Not a U.S. citizen; Estimate; 5 to 17 years
HC05_MOE_VC07,Foreign born; Not a U.S. citizen; Margin of Error; 5 to 17 years
HC01_EST_VC08,Total; Estimate; 18 to 24 years
HC01_MOE_VC08,Total; Margin of Error; 18 to 24 years
HC02_EST_VC08,Native; Estimate; 18 to 24 years
HC02_MOE_VC08,Native; Margin of Error; 18 to 24 years
HC03_EST_VC08,Foreign born; Estimate; 18 to 24 years
HC03_MOE_VC08,Foreign born; Margin of Error; 18 to 24 years
HC04_EST_VC08,Foreign born; Naturalized citizen; Estimate; 18 to 24 years
HC04_MOE_VC08,Foreign born; Naturalized citizen; Margin of Error; 18 to 24 years
HC05_EST_VC08,Foreign born; Not a U.S. citizen; Estimate; 18 to 24 years
HC05_MOE_VC08,Foreign born; Not a U.S. citizen; Margin of Error; 18 to 24 years
HC01_EST_VC09,Total; Estimate; 25 to 44 years
HC01_MOE_VC09,Total; Margin of Error; 25 to 44 years
HC02_EST_VC09,Native; Estimate; 25 to 44 years
HC02_MOE_VC09,Native; Margin of Error; 25 to 44 years
HC03_EST_VC09,Foreign born; Estimate; 25 to 44 years
HC03_MOE_VC09,Foreign born; Margin of Error; 25 to 44 years
HC04_EST_VC09,Foreign born; Naturalized citizen; Estimate; 25 to 44 years
HC04_MOE_VC09,Foreign born; Naturalized citizen; Margin of Error; 25 to 44 years
HC05_EST_VC09,Foreign born; Not a U.S. citizen; Estimate; 25 to 44 years
HC05_MOE_VC09,Foreign born; Not a U.S. citizen; Margin of Error; 25 to 44 years
HC01_EST_VC10,Total; Estimate; 45 to 54 years
HC01_MOE_VC10,Total; Margin of Error; 45 to 54 years
HC02_EST_VC10,Native; Estimate; 45 to 54 years
HC02_MOE_VC10,Native; Margin of Error; 45 to 54 years
HC03_EST_VC10,Foreign born; Estimate; 45 to 54 years
HC03_MOE_VC10,Foreign born; Margin of Error; 45 to 54 years
