	Total_2006	Africa_2006	Asia_2006	Europe_2006	Northern America_2006	Oceania_2006	Latin America_2006	Total_2007	Africa_2007	Asia_2007	Europe_2007	Northern America_2007	Oceania_2007	Latin America_2007	Total_2008	Africa_2008	Asia_2008	Europe_2008	Northern America_2008	Oceania_2008	Latin America_2008	Total_2009	Africa_2009	Asia_2009	Europe_2009	Northern America_2009	Oceania_2009	Latin America_2009	Total_2010	Africa_2010	Asia_2010	Europe_2010	Northern America_2010	Oceania_2010	Latin America_2010	Total_2011	Africa_2011	Asia_2011	Europe_2011	Northern America_2011	Oceania_2011	Latin America_2011	Total_2012	Africa_2012	Asia_2012	Europe_2012	Northern America_2012	Oceania_2012	Latin America_2012	Total_2013	Africa_2013	Asia_2013	Europe_2013	Northern America_2013	Oceania_2013	Latin America_2013	Abbreviations
Alabama	4278.0	441.0	1739.0	648.0	592.0	24.0	818.0	3393.0	385.0	1489.0	489.0	363.0	19.0	643.0	3877.0	332.0	1680.0	507.0	484.0	25.0	845.0	3891.0	582.0	1644.0	419.0	472.0	22.0	737.0	3740.0	519.0	1840.0	434.0	361.0	14.0	550.0	4063.0	546.0	2000.0	406.0	472.0	30.0	601.0	3873.0	519.0	1784.0	330.0	434.0	7.0	793.0	3848.0	456.0	1877.0	384.0	418.0	21.0	679.0	AL
Alaska	1554.0	40.0	819.0	293.0	177.0	41.0	180.0	1617.0	68.0	966.0	222.0	156.0	42.0	160.0	1534.0	68.0	813.0	267.0	176.0	51.0	157.0	1608.0	83.0	958.0	221.0	170.0	42.0	132.0	1703.0	108.0	948.0	251.0	184.0	46.0	166.0	1799.0	125.0	1074.0	243.0	180.0	46.0	128.0	1612.0	118.0	910.0	186.0	197.0	37.0	163.0	1460.0	107.0	888.0	166.0	142.0	42.0	111.0	AK
Arizona	21530.0	1804.0	4628.0	2235.0	1918.0	122.0	10783.0	17528.0	1250.0	4291.0	1745.0	1415.0	91.0	8711.0	20638.0	1711.0	4417.0	1673.0	1580.0	83.0	11154.0	20997.0	2559.0	5615.0	1454.0	1427.0	89.0	9839.0	18243.0	1402.0	6189.0	1188.0	1168.0	87.0	8194.0	20333.0	1502.0	7554.0	1157.0	1218.0	79.0	8806.0	18434.0	1517.0	6225.0	967.0	1091.0	83.0	8535.0	16097.0	1102.0	4900.0	1082.0	1121.0	67.0	7775.0	AZ
Arkansas	2926.0	143.0	959.0	274.0	417.0	24.0	1103.0	2722.0	118.0	878.0	258.0	377.0	9.0	1074.0	2997.0	116.0	902.0	224.0	357.0	11.0	1385.0	2942.0	146.0	899.0	188.0	411.0	23.0	1271.0	2684.0	148.0	998.0	201.0	326.0	7.0	998.0	2874.0	142.0	1075.0	167.0	396.0	12.0	1079.0	2795.0	129.0	1077.0	180.0	354.0	9.0	1040.0	2900.0	169.0	1109.0	178.0	406.0	11.0	1005.0	AR
California	264677.0	9384.0	121890.0	25822.0	27606.0	3001.0	76130.0	228941.0	8035.0	114231.0	19597.0	18941.0	2466.0	65352.0	238444.0	7783.0	111555.0	18496.0	17630.0	1900.0	80848.0	227876.0	8578.0	117446.0	14789.0	17056.0	2022.0	67764.0	208446.0	7138.0	114318.0	12202.0	15475.0	1893.0	57202.0	210591.0	7047.0	118087.0	11544.0	15543.0	1857.0	56316.0	196622.0	7150.0	107825.0	11121.0	13442.0	1732.0	55215.0	191806.0	7321.0	102464.0	12861.0	14781.0	1857.0	51885.0	CA
Colorado	12714.0	1843.0	3460.0	2181.0	1008.0	160.0	4045.0	11039.0	1608.0	3237.0	1780.0	768.0	134.0	3501.0	12741.0	1799.0	3385.0	1779.0	850.0	120.0	4797.0	12841.0	2621.0	3600.0	1616.0	804.0	132.0	4058.0	12489.0	1886.0	4613.0	1387.0	759.0	144.0	3689.0	13547.0	2126.0	5166.0	1304.0	832.0	125.0	3982.0	13327.0	2471.0	5003.0	1086.0	824.0	128.0	3804.0	11108.0	1846.0	3899.0	1049.0	711.0	112.0	3458.0	CO
Connecticut	18700.0	1220.0	4345.0	4312.0	3840.0	85.0	4870.0	12932.0	963.0	3917.0	2644.0	2688.0	48.0	2657.0	12190.0	1004.0	3762.0	2444.0	2702.0	66.0	2197.0	13632.0	1185.0	4013.0	2555.0	3152.0	61.0	2660.0	12222.0	972.0	3892.0	2082.0	3035.0	44.0	2185.0	12577.0	1023.0	4223.0	2062.0	3013.0	39.0	2213.0	12237.0	1093.0	3941.0	1952.0	2925.0	46.0	2271.0	10985.0	860.0	3568.0	1672.0	2692.0	57.0	2103.0	CT
Delaware	2265.0	430.0	751.0	271.0	394.0	4.0	412.0	2085.0	412.0	812.0	213.0	310.0	8.0	329.0	2295.0	445.0	805.0	224.0	399.0	10.0	411.0	2184.0	507.0	787.0	213.0	367.0	6.0	302.0	2198.0	500.0	854.0	201.0	351.0	3.0	285.0	2355.0	476.0	1038.0	185.0	352.0	7.0	296.0	2208.0	497.0	857.0	156.0	403.0	6.0	289.0	2325.0	459.0	959.0	183.0	420.0	3.0	297.0	DE
District of Columbia	3775.0	1240.0	654.0	485.0	980.0	26.0	378.0	2541.0	887.0	441.0	377.0	569.0	8.0	256.0	2652.0	870.0	543.0	411.0	531.0	25.0	267.0	2934.0	1006.0	549.0	438.0	631.0	24.0	283.0	2897.0	1037.0	609.0	376.0	626.0	12.0	232.0	2724.0	1001.0	578.0	365.0	512.0	15.0	249.0	2811.0	996.0	633.0	409.0	511.0	19.0	240.0	2981.0	1106.0	732.0	384.0	500.0		237.0	DC
Florida	155996.0	3690.0	16807.0	12463.0	72925.0	292.0	49571.0	126277.0	2964.0	14135.0	9161.0	59938.0	166.0	39754.0	133445.0	2786.0	12287.0	8637.0	72672.0	170.0	36694.0	127006.0	3157.0	12726.0	8808.0	65354.0	197.0	36611.0	107276.0	2744.0	13065.0	7363.0	56417.0	169.0	27384.0	109229.0	2601.0	13409.0	7325.0	58094.0	174.0	27517.0	103047.0	2614.0	13243.0	7160.0	54290.0	175.0	25479.0	102939.0	2730.0	13023.0	7983.0	53431.0	177.0	25382.0	FL
