Origin,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Total,1266264,4278,1554,21530,2926,264677,12714,18700,2265,3775,155996,32202,,7501,2377,52459,8125,4086,4280,5506,2693,1719,30204,35560,20911,18254,1480,6857,505,3795,14714,2990,65934,3805,180165,18989,649,16592,4591,9192,25958,,4778,5292,1013,10042,89037,95,7080,5749,895,38488,23805,764,8341,376
Africa,117430,441,40,1804,143,9384,1843,1220,430,1240,3690,6241,,53,170,3590,1153,729,553,760,207,511,8808,6281,1930,7308,107,1311,19,793,837,446,6333,105,11603,2759,219,4325,465,752,3944,,1060,444,367,2511,8623,6,21,602,246,7157,3057,78,688,23
Asia,422333,1739,819,4628,959,121890,3460,4345,751,654,16807,10414,,6323,533,17774,3090,1167,1540,1905,1274,527,9622,9755,10281,6479,704,2303,173,849,5256,936,21603,775,63159,5797,162,6174,1785,3095,10002,,840,1492,213,3822,24601,46,2131,1228,243,14433,9600,345,3706,123
Europe,164285,648,293,2235,274,25822,2181,4312,271,485,12463,3941,,378,504,14305,1281,631,388,839,306,361,2805,5945,4893,1965,183,1642,141,310,1500,679,9153,320,27754,2865,138,3160,452,2503,5207,,424,1179,217,1209,5261,14,182,745,189,3471,6144,131,1506,80
North America,414096,1127,279,11948,1398,94350,4253,4256,646,1031,78267,8109,,290,1014,14463,2098,1365,1571,1698,712,236,6238,8121,3193,1750,390,1176,116,1670,6198,519,14646,2405,51317,5575,100,1941,1588,2428,4894,,1831,1369,187,1937,45644,15,3914,1828,150,7639,3910,137,2050,109
Northern America,165313,302,125,1200,70,3651,420,3109,300,306,65818,2871,0,165,121,1242,433,140,143,1045,240,175,2321,6071,1376,480,116,362,77,128,1276,391,10530,319,41689,1375,83,823,174,415,3350,0,1095,443,58,468,3028,11,3649,304,129,1490,1067,59,315,34
Oceania,7385,24,41,122,24,3001,160,85,4,26,292,147,,266,31,136,49,38,19,30,12,10,68,117,78,51,8,65,17,11,117,17,151,20,503,106,3,81,28,121,113,,12,31,3,71,270,0,20,211,16,104,377,7,55,16
Latin America,472057,1189,271,11625,1465,100648,4723,8058,733,1221,79698,10104,0,316,1033,15706,2248,1396,1659,986,713,161,7849,12417,2595,2033,411,1294,88,1726,5759,725,26300,2284,67110,6466,47,2238,1718,2358,5492,0,2370,1844,155,2034,47680,18,3847,2717,89,12326,3603,164,2155,100
South America,138001,283,78,753,122,9386,800,4454,160,327,44229,3251,,181,122,2059,430,149,203,263,168,72,2589,5277,499,669,86,340,39,154,781,382,13953,176,25477,1847,26,843,263,285,1749,,603,762,26,471,4497,14,800,1121,51,5634,686,66,320,25
Afghanistan,3417,7,0,79,0,987,69,34,5,3,63,73,,0,19,75,25,16,,14,4,6,47,56,52,14,0,88,0,20,34,4,137,17,567,14,,12,0,17,89,,,0,,22,117,0,0,27,0,538,46,0,14,0
Albania,7914,0,8,55,4,112,17,541,4,7,633,27,,,3,470,13,4,,,,5,88,822,1206,10,3,69,,5,37,50,428,3,2211,33,0,171,4,10,494,,6,23,0,18,95,0,0,7,,80,29,0,101,0
Algeria,1300,0,0,11,3,200,19,20,,12,85,23,,,0,64,14,10,9,,8,,23,128,26,7,,6,0,3,3,3,59,3,188,31,0,39,6,10,76,,7,6,,4,80,0,0,,,75,16,,12,
American Samoa,28,0,7,0,0,6,0,0,0,0,,0,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,,0,0,0,,0,0,,0,0,0
Andorra,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,272,0,,6,0,13,3,8,0,,35,6,,0,0,21,,0,0,0,0,0,9,62,,,0,,0,0,3,0,21,0,9,7,0,,,3,10,,,,0,0,27,0,,,0,11,,0,0,0
Anguilla,32,0,0,0,0,,0,0,0,0,6,3,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,4,,0,0,0,0,,,0,0,0,0,0,0,11,0,0,0,0,0,0,0
Antigua-Barbuda,570,,,0,,6,,10,,,66,16,,,0,,0,0,0,0,,,21,9,0,5,0,0,0,0,0,0,30,0,263,14,0,0,,0,16,,0,,,0,23,0,67,,0,4,,0,,0
Argentina,7327,16,,55,8,853,71,137,7,26,2997,85,,22,12,128,39,19,11,14,12,5,104,139,33,34,7,38,,7,102,8,385,22,701,75,0,45,19,31,77,,15,30,0,42,278,0,93,114,5,311,56,,35,0
Armenia,6317,0,0,16,0,5370,36,9,,7,66,9,,,,30,4,,,6,0,,26,78,27,12,,8,0,,117,,75,,206,11,0,19,4,10,37,,14,3,,4,25,0,0,13,,18,30,0,9,0
Aruba,51,0,0,,0,5,0,0,0,0,13,0,,0,0,,,0,0,0,,0,3,,0,0,0,0,0,0,,0,5,0,11,,0,,0,0,,,0,0,0,0,0,0,0,0,0,,0,0,0,0
Australia,3249,16,8,69,16,691,97,51,3,20,177,110,,40,13,101,39,31,10,22,4,8,50,78,56,33,5,36,10,7,53,9,116,11,405,74,3,54,20,37,95,,7,22,,54,175,0,10,53,15,74,106,,40,11
Austria,524,5,,17,,99,7,8,,,53,13,,16,,19,6,,0,4,,,9,18,18,9,0,4,0,,5,,21,5,69,12,0,12,4,,13,,3,4,,,20,0,3,6,,14,7,0,,0
Azerbaijan,2371,,,15,,1084,27,8,,5,60,25,,0,16,43,11,4,0,27,0,13,41,39,48,12,0,13,0,,4,4,34,0,458,32,0,12,9,18,55,,7,,,5,56,0,0,20,11,32,102,0,11,0
