Origin	Total	Alabama	Alaska	Arizona	Arkansas	California	Colorado	Connecticut	Delaware	District of Columbia	Florida	Georgia	Hawaii	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	North Carolina	North Dakota	Ohio	Oklahoma	Oregon	Pennsylvania	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	U.S. Armed Services Posts	U.S. Dependencies	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming
Total	1052415	3393	1617	17528	2722	228941	11039	12932	2085	2541	126277	27353	7236	2044	41971	6639	3103	4141	4340	3475	1488	24255	30555	18727	13814	1593	6459	575	3066	12308	2272	55834	3112	136739	15469	496	14078	4269	7905	22811	3354	4788	668	8942	77278	85	5317	5168	791	29682	22657	721	7381	380
Africa	94711	385	68	1250	118	8035	1608	963	412	887	2964	4938	65	195	2924	905	400	538	564	240	442	7368	5673	1418	5167	99	933	28	587	766	339	5360	84	9703	2406	115	3509	414	602	3254	727	424	186	1962	6757	8	23	339	230	5167	2485	66	597	14
Asia	383508	1489	966	4291	878	114231	3237	3917	812	441	14135	9489	6227	521	16621	2732	1136	1635	1612	1522	453	8443	8744	10258	5280	751	2592	200	877	4626	849	20264	694	50190	5388	184	5703	1645	3065	9530	620	1456	196	3410	22262	45	1732	1309	259	12453	10139	347	3515	137
Europe	120821	489	222	1745	258	19597	1780	2644	213	377	9161	3016	266	449	9870	1034	378	334	797	391	291	1919	4432	3855	1177	165	1316	131	198	1134	462	6736	322	18676	1882	109	2501	391	1530	4222	290	815	134	912	4389	18	145	652	166	2658	4793	129	1181	68
North America	339355	762	239	9463	1345	76153	3699	3148	504	614	64001	6856	243	758	10808	1577	1028	1419	1141	1031	205	4661	7377	2591	1502	456	1195	168	1272	5072	345	13090	1860	40512	4097		1626	1510	2258	4206	1310	1298	127	2067	39393		2749	1699	78	5677	4131	105	1725	131
Northern America	190715	363	156	1415	377	18941	768	2688	310	569	59938	3872	172	126	2191	685	313	316	814	790	188	3961	7142	1559	834	218	655	114	369	1990	293	11852	236	37671	2164	-10	1108	334	723	3349	1259	717	86	928	8056	0	2659	476	75	4304	1771	89	635	33
Oceania	6101	19	42	91	9	2466	134	48	8	8	166	104	291	17	106	31	19	20	27	18	24	57	116	50	61	9	54	20	13	71	26	111	18	396	57		66	29	142	81	10	27		51	234		12	177	15	105	374	12	47	5
Latin America	255165	643	160	8711	1074	65352	3501	2657	329	256	39754	5897	211	732	10170	1239	857	1296	518	500	90	2457	4425	1557	1283	348	900	81	1020	3703	300	11449	1752	19954	3535	21	1164	1446	1834	2334	443	1341	41	1670	35507	0	736	2211	45	4964	3071	78	1392	122
South America	106525	244	77	663	106	8140	570	2197	135	211	35691	2913	140	100	1553	347	142	193	191	259	73	1757	4190	525	615	110	360	27	117	621	248	10211	128	17113	1602	11	646	270	299	1477	392	760		531	4170		646	988	42	3591	711	62	302	24
Afghanistan	1753	0	0	94	0	516	27	32		3	34	59	0	21	28	22	9	0	5	3	4	33	28	10	3	0	43	0	16	12	3	59	6	217	5		6	0	8	31			0	13	87		0	9	0	250	45		4	0
