Origin	Total	Alabama	Alaska	Arizona	Arkansas	California	Colorado	Connecticut	Delaware	District of Columbia	Florida	Georgia	Guam	Hawaii	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	North Carolina	North Dakota	Ohio	Oklahoma	Oregon	Pennsylvania	Puerto Rico	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	U.S. Armed Services Posts	U.S. Dependencies	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming
Total	1042625	3740	1703	18243	2684	208446	12489	12222	2198	2897	107276	24833	1383	7037	2556	37909	8539	4245	5501	4930	4397	1349	26450	31069	18579	12408	1709	7151	457	4400	10803	2556	56920	3528	147999	16112	1058	13585	4627	7997	24130	4283	4027	4401	987	8156	87750	136	1558	6085	867	28607	22283	729	6189	452
Africa	101355	519	108	1402	148	7138	1886	972	500	1037	2744	4649		55	250	3092	1158	904	697	896	363	401	7962	5148	1456	5076	147	1292	52	804	801	353	5571	154	10513	2791	274	3376	479	723	3919		930	457	339	1728	8474	19	14	541	156	5306	2784	83	663	39
Asia	422063	1840	948	6189	998	114318	4613	3892	854	609	13065	10173	1345	6250	1099	16574	4504	1736	2354	2302	1948	508	9799	10489	12041	4697	845	3285	174	1812	4435	1312	20923	931	55830	6644	581	6405	1981	3853	10722	128	648	1673	423	3663	30261	70	584	2146	439	14158	11736	390	2695	171
Europe	88743	434	251	1188	201	12202	1387	2082	201	376	7363	1971	20	259	210	7316	698	327	307	392	393	188	1727	3581	2421	919	130	852	98	176	842	309	4947	223	14269	1465	87	1682	333	974	3172	120	211	679	79	621	4158	25	15	438	125	2010	3246	101	880	62
North America	336602	730	249	8858	1223	66120	3876	3257	517	673	59530	5722	3	196	854	9256	1806	1145	1908	1129	1295	202	4989	8625	2163	1196	466	1316	93	1480	4136	400	16097	2075	50267	3824	91	1412	1585	2064	4972	3520	1803	1033	121	1683	40123		909	1813	95	4413	3473	96	1566	136
Northern America	197482	361	184	1168	326	15475	759	3035	351	626	56417	3300	3	125	127	1857	590	300	360	786	894	172	4442	8395	1239	544	249	664	68	580	1550	348	15149	235	47830	2029	73	905	278	557	4302	3440	1756	598	80	724	7312	-8	909	505	95	3546	1292	76	449	43
Oceania	5345	14	46	87	7	1893	144	44	3	12	169	77		165	15	88	42	19	16	19	23	4	69	89	64	54	4	53	8	5	73	13	103	28	408	92	4	74	25	136	87		10	22	7	73	220	0	6	199	9	89	364	7	41	7
Latin America	226307	550	166	8194	998	57202	3689	2185	285	232	27384	4646	0	178	847	8878	1532	955	1766	516	740	75	2420	3351	1303	1111	332	989	57	1018	3097	220	10157	1956	19017	3053	38	1101	1528	1742	1876	577	471	967	59	1322	37241	8	24	2252	42	3457	2844	71	1447	130
South America	87187	181	101	504	101	6557	572	1963	119	185	24271	2224		107	120	1479	316	110	218	173	339	45	1873	3121	379	459	115	337	32	118	511	168	9209	116	16580	1258	20	594	221	235	1206	497	424	532	18	363	4430		24	944	42	2590	663	51	330	37
Afghanistan	2017	4	0	83		667	26	11	4	18	35	58	0		36	29	15	0	15			6	30	18	14	7	6	35	0	10	19	6	56	10	210	19		4	0	18	63	0	0	3	3	16	109	0	0	24	0	289	31	0		0
Albania	4711	5		38	4	75	9	326	3	6	388	19	0	0	7	305	3	3	8	4		0	29	559	611	13		44	0	5	25	16	293	0	1143	38	0	126	5	9	337	0		21	0	8	67	0	0	9		60	23	0	60	
Algeria	1305	0		6	0	229	22	9			55	18	0	0		83	15		15		17	0	11	95	21	4		11	0	0		5	98		217	28		37		4	123		0	9	0	5	68	0	0	0	0	61	12	0	12	0
American Samoa	14	0		0	0	5	0	0	0	0	0		0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0			0	0		0	0		0	0	0
Andorra	3	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Angola	148	0	0	3	0	9	0	3	0		6	4	0	0	0			0	0				3	35			8	0			0	0	6	0	17	6	0			0	6	0	7		0	0	10	0	0		0	5		0	0	0
Anguilla	19	0	0	0	0		0	0	0	0	5		0	0	0	0	0	0	0	0	0	0		0	0	0	0		0	0	0	0	0	0			0	0	0	0		0	0	0	0	0		0	4	0	0	0	0	0	0	0
Antigua-Barbuda	359	3	5	0	0	4	0	4	3	3	55	10	0		0				0				7	4	3	0	0		0	0	0	0	30	0	134	3	0	3	0	0	12				0	3	8	0	44	0	0	5	0			0
Argentina	4399	7	7	30	7	653	38	73		16	1581	68	0	13	8	92	18	7	6	8	9		83	61	41	13	9	23			60		169	9	440	50	3	46	12	28	48	46	6	19		20	274	0		77		129	46	3	27	4
Armenia	2979	0		9		2195	37	12	0	7	36	12	0	0		11	5	0	0	5	4	0	29	79	11			7	0		63		48	3	224	13	0	30	0	5	21		3	7	0	5	18	0	0	18	0	24	20	0	7	
Aruba	49	0	0	0	0				0	0	13	3	0	0	0		0	0	0	0	0	0	0			3	0	0	0	0	0	0		0	8	0	0	0	0	0	4		0	0	0	0	5	0	0	0	0		0	0	0	0
Australia	2512	6	10	45	5	596	84	29		9	118	59		27	6	57	31	13	10	11	15	3	35	60	45	36	3	31	3		41	8	76	18	310	61	4	48	14	37	61	3	3	14	5	62	145	0	4	47	6	53	108	3	25	3
Austria	442			9		91	10	8	0	3	32		0	7		22	3		0		4		5	11	13	3	0	0	0	0			13	3	82	8	0	5		6	14			4	0	4	21	0		3	0	12	18	0	6	
Azerbaijan	781			4		194	6	3	0		18	9	0	0	0	18				6		12	23	24	16	7		6	0	0	5		22		175	13		12			25	0					67		0	3	0	36	46	0	4	0
Bahamas	652	5	0	3		12		3		0	410	46	0	0		8			0	4	4	0	10	3	3	0	5	3	0	0		0	18		22	8	0	6			7	0		6	0	8	27	0		0	0	10		0		0
Bahrain	104	3				12		0			13		0	0		3	3	0		0	0	0	0	3	8	0	0		0	0	0	0	6	0	10	3	0		3			0	0	0	0		12	0	0		0	4				0
Bangladesh	14819	29	7	75	17	848	16	246	47	24	636	394	0	5	6	150	37	7	38	6	31	0	230	227	807	54	15	39		9	53	20	1038	7	7597	72	5	101	36	28	432	0	5	31	0	29	644	0	21	5	3	613	48	5	23	
Barbados	465		0		0	8	3	8	0	0	61	14	0	0	0	7			0			0	19	31			4		0	0		0	15	0	238	8	0			0	12			0	0		8	0		0		3		0		0
Belarus	2038	7	10	6		228	45	43	16	11	101	39	0	5	3	120	17	4		6	0		39	111	18	93	3	17		5	14	6	117	0	490	37		32	6	18	153	0	5	16		7	43		0	7	0	38	63	0	28	
Belgium	592			15	3	80	9	8	0	3	41	23	0		0	27	9				7	4	19	11	25	6	0	3	0	0	5	4	31		98	17	0	16	6	7	14	0	4			6	38	0	0		3	13	13	3	4	0
