Origin,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Total,1062040,4063,1799,20333,2874,210591,13547,12577,2355,2724,109229,27015,1313,7296,2602,38325,8262,4624,5086,5403,4226,1467,25778,32236,18347,12389,1666,7048,511,4535,10449,2478,55547,3767,148426,17571,948,13857,4503,7694,25397,3288,3681,4216,1337,8279,94481,101,1379,6426,943,27767,23789,830,6245,420
Africa,100374,546,125,1502,142,7047,2126,1023,476,1001,2601,5031,3,47,285,3032,1140,781,656,926,371,384,7840,5578,1383,4804,109,1237,56,846,866,241,4976,149,9952,2549,233,3342,447,745,4078,16,763,394,450,1837,8459,,,582,160,5076,3123,109,665,48
Asia,451593,2000,1074,7554,1075,118087,5166,4223,1038,578,13409,11310,1291,6502,1162,17689,4290,2357,2220,2728,1920,601,10019,11242,11897,4740,824,3446,203,1840,4265,1461,21487,988,65901,7720,518,6868,1984,3735,12071,136,683,1590,609,3817,33039,51,523,2317,513,14155,13291,439,2820,127
Europe,83850,406,243,1157,167,11544,1304,2062,185,365,7325,1845,6,269,194,6799,654,280,256,339,379,212,1683,3498,2320,866,154,725,121,178,740,261,4773,216,13052,1622,68,1581,296,858,2839,111,226,691,86,573,3940,13,19,444,110,1942,2816,118,842,77
North America,333902,847,250,9565,1342,65317,4204,3276,510,565,61528,6197,5,197,832,9151,1805,1084,1735,1198,1204,184,4518,8502,2232,1386,472,1299,94,1533,4027,328,14798,2238,43782,4047,100,1414,1519,2017,5081,2558,1560,1014,159,1614,44174,9,805,1880,112,4109,3718,117,1551,139
Northern America,146749,286,154,849,80,3105,473,2708,312,192,52945,2381,5,116,86,965,350,126,187,730,456,153,1910,7165,932,390,135,454,67,250,957,257,11979,177,38238,1130,78,694,152,315,3879,2413,1168,388,52,429,3143,9,805,199,109,1049,878,70,264,21
Oceania,4980,30,46,79,12,1857,125,39,7,15,174,77,4,174,18,107,35,25,27,23,15,19,56,87,43,46,3,34,9,7,67,11,76,6,379,60,6,52,19,102,77,0,11,32,14,48,238,,,212,7,60,263,6,32,4
Latin America,397583,943,257,9599,1420,69622,4550,4876,594,708,82665,8072,4,205,858,10152,1985,1097,1853,1289,1395,168,5614,11088,2063,1673,533,1453,64,1627,4339,430,23245,2345,53951,5153,54,1603,1676,2057,5695,2992,1959,1350,142,1788,47310,17,453,2740,75,6099,3567,124,1754,149
South America,86096,226,58,459,133,6542,610,1950,138,196,24083,2538,4,107,106,1428,321,93,190,184,294,66,1631,3311,425,535,98,279,28,127,481,174,9385,167,15254,1531,21,533,237,230,1208,462,437,492,18,373,4527,17,12,989,38,2401,568,40,316,25
Afghanistan,1648,7,0,49,0,552,18,19,,10,21,46,0,0,36,18,8,,3,3,,,22,12,6,8,4,19,0,12,19,,46,6,183,23,6,17,,5,56,0,,,,7,80,0,0,24,0,254,33,0,,
Albania,3612,0,,27,,65,3,254,3,6,305,19,0,0,11,171,13,5,,4,5,7,37,393,506,10,0,25,,4,17,21,177,0,939,16,,100,,3,233,0,,15,,7,74,0,0,6,,42,31,,44,0
Algeria,1364,,0,4,,259,21,14,,,41,21,0,,,69,17,6,23,7,12,,22,94,24,4,0,11,0,0,,,66,3,198,27,0,41,3,3,171,,,5,,6,70,0,0,0,0,80,9,,12,3
American Samoa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
Angola,148,0,0,,0,3,,5,0,0,15,6,0,0,0,0,,,0,0,0,0,7,40,,,0,,0,0,0,0,5,0,10,6,0,3,,,7,0,4,,0,0,16,0,0,0,0,6,,0,,
Anguilla,25,,0,0,0,0,0,0,0,0,5,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,4,0,3,,0,,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Antigua-Barbuda,368,,0,3,0,,0,5,3,0,64,17,0,,0,,0,0,0,,0,0,6,11,,,0,0,0,0,0,0,25,0,149,5,0,,0,,7,,,0,0,,6,0,40,0,0,8,,0,0,0
Argentina,4473,14,5,26,4,505,60,63,3,13,1696,96,0,6,6,79,25,3,11,14,20,,79,65,29,19,10,37,,7,40,3,289,12,369,68,3,29,7,17,62,33,8,19,3,14,342,0,,114,,72,47,0,19,
Armenia,2983,3,0,3,0,2167,20,6,,6,40,11,0,0,0,14,6,,,8,3,0,26,78,25,,,6,0,5,65,3,77,,207,5,,28,0,6,30,0,12,,0,5,32,0,0,17,,23,29,0,6,0
Aruba,39,0,0,0,0,0,0,0,0,0,21,,0,0,0,0,0,0,0,0,0,0,,3,,0,0,0,0,0,0,0,,0,3,0,0,0,0,0,0,0,,0,0,,3,0,0,,0,0,,0,0,0
Australia,2343,24,8,33,8,564,80,23,7,10,115,54,0,30,8,69,23,19,14,17,9,14,38,70,37,19,,20,5,6,34,5,56,3,284,48,4,33,13,45,55,0,4,20,8,31,161,,0,53,7,34,88,3,23,4
Austria,424,,4,13,,93,8,,0,0,45,9,0,6,,15,,,,0,5,,8,18,11,8,0,3,0,,3,0,12,,58,13,0,7,,4,9,0,,,0,,21,0,0,3,0,9,13,0,,
Azerbaijan,728,,0,10,0,157,15,10,0,6,21,8,0,0,,30,4,,5,7,5,,7,17,9,10,0,11,0,0,,,20,0,186,6,,4,6,6,30,,,3,0,,50,0,0,4,,26,40,0,0,0
Bahamas,668,4,0,5,0,13,,3,,0,412,64,0,0,,12,5,,,,,0,8,9,5,3,0,0,0,0,0,0,5,0,28,13,,5,,,9,0,,4,0,5,27,0,0,0,0,6,,0,5,0
Bahrain,119,0,0,0,0,13,,0,0,0,6,3,0,0,0,9,0,0,0,0,,0,4,8,5,,0,,0,,0,0,7,0,17,0,0,,,0,3,0,0,3,0,,15,0,0,0,0,13,,0,,0
Bangladesh,16707,38,4,89,12,868,39,321,37,25,693,469,0,4,,159,40,6,46,13,17,,318,247,862,69,3,23,0,9,80,23,1167,19,8727,109,0,103,55,33,517,0,,14,3,45,679,0,11,,,611,63,12,16,0
Barbados,455,0,0,4,3,15,,8,,0,60,13,0,,0,,,0,0,3,0,0,21,24,,,,,0,0,,0,31,0,190,11,,,0,0,23,0,,,0,0,17,0,5,0,,4,,0,,0
Belarus,1964,8,4,11,,239,48,47,7,8,129,47,0,7,,126,12,0,,,3,3,58,129,20,45,0,10,,5,10,4,120,5,444,31,0,30,3,24,82,0,,12,3,15,33,0,0,8,0,44,91,3,26,0
Belgium,567,3,0,9,,90,8,5,0,4,50,25,0,,,11,,3,4,3,5,4,14,19,14,6,,,0,0,4,,33,,104,17,0,13,4,6,10,0,4,5,0,5,30,,0,3,,21,9,,7,0
Belize,905,4,0,6,4,287,0,,0,0,86,17,0,0,0,114,8,,,,9,0,7,,4,5,0,4,0,0,10,,24,0,151,5,0,5,,10,8,0,,,0,3,92,0,0,3,0,10,11,0,,
Benin,462,,0,4,4,7,5,3,,5,9,31,0,0,0,54,16,3,0,8,0,0,78,7,6,16,0,,0,28,0,3,11,0,43,19,3,6,,,32,0,0,5,0,,24,0,0,,,14,4,0,3,0
Bermuda,71,3,0,0,,3,,0,0,0,15,7,0,,0,,0,0,0,0,0,0,,3,,,0,0,0,0,,,3,0,8,,0,,0,0,,0,,0,0,,8,0,0,0,,,,0,0,0
Bhutan,10137,0,40,525,0,216,439,10,0,0,108,631,0,0,190,328,0,181,71,257,0,0,200,282,264,96,0,131,0,40,48,340,17,28,773,290,153,439,0,97,1036,0,44,3,84,250,1279,0,0,268,142,389,439,0,9,0
Bolivia,2173,7,0,12,5,235,18,9,,22,352,29,0,0,,43,4,4,5,7,5,,148,52,10,7,4,6,0,6,17,3,71,5,130,19,,20,,10,12,6,75,13,,6,106,0,0,34,0,630,12,,5,0
Bosnia-Herzegovina,878,,0,24,,59,16,23,,3,69,34,0,,18,71,14,36,,28,12,,15,17,32,20,0,64,0,3,12,8,17,,57,19,6,16,0,7,25,,0,,,6,53,0,0,30,5,8,23,0,17,0
Botswana,76,0,0,0,0,5,,0,0,,9,9,0,0,,,,0,0,,,0,6,0,,,0,0,0,,,0,4,0,7,,0,,0,,6,0,0,0,,0,6,0,0,0,0,5,0,0,0,0
Brazil,11763,53,6,92,22,1235,119,399,16,37,2692,515,0,53,20,198,54,28,31,33,56,20,192,1808,151,65,13,47,6,22,82,64,969,25,787,148,6,91,17,37,207,18,51,61,4,50,575,0,,183,16,212,115,6,52,
British Virgin Islands,37,0,0,0,0,,0,7,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,10,0,0,0,0,0,0,0,0,0,0,0,,0,7,0,0,0,0,0,0,0
Brunei,25,0,0,,0,10,0,0,0,0,0,,0,,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0
Bulgaria,2661,7,9,46,4,297,69,38,10,12,223,100,0,5,6,498,19,10,6,14,15,13,67,146,47,21,4,35,5,,94,7,106,7,226,27,3,39,14,16,56,3,5,22,0,16,80,0,0,16,3,93,73,4,21,
Burkina Faso,433,0,0,11,0,8,8,3,,9,6,25,0,0,0,11,,4,,4,,0,29,,3,,0,0,,13,0,0,34,,149,6,,14,,,24,,,,,0,20,0,0,0,,13,7,7,3,0
Burma,16518,16,,546,7,1223,496,93,3,0,379,732,0,19,51,503,1277,544,324,400,54,9,525,191,431,526,12,231,0,445,16,,176,10,1587,805,8,210,240,127,333,0,9,87,127,274,2340,0,0,205,28,201,393,36,265,0
Burundi,593,0,0,32,0,13,13,,0,0,7,14,0,0,14,19,,28,,29,3,15,14,4,16,,0,9,0,,0,9,3,,35,14,12,16,0,5,35,,10,9,15,21,109,0,0,5,4,37,11,,,0
Cambodia,2745,,,28,9,796,26,26,,0,47,54,0,7,3,40,19,14,7,25,10,27,39,334,27,125,16,10,,,16,27,10,,41,29,,42,5,39,159,0,44,12,,19,214,0,0,17,,102,250,,12,3
Cameroon,4754,44,8,73,24,211,34,17,51,100,72,275,0,0,8,132,22,10,31,32,31,6,1582,165,72,182,7,21,,25,27,11,104,11,153,54,,141,54,13,83,0,,26,,31,516,0,0,10,,199,25,12,39,3
Canada,12800,99,46,391,39,2049,237,195,23,28,1129,336,,84,67,357,106,71,60,70,67,74,185,497,545,221,29,105,50,30,159,60,354,54,1108,309,61,314,66,181,329,9,22,122,27,168,995,0,,118,67,280,686,17,91,8
Cape Verde,1808,,0,0,0,4,,39,0,0,16,3,0,0,0,0,0,0,,0,0,0,,1451,0,0,0,0,0,0,0,0,5,0,6,,,0,,0,5,0,265,0,0,,,0,0,,0,,,0,0,0
Cayman Islands,41,0,0,0,0,3,,,0,0,21,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,,0,0,,0,,,0,0,0,0,0,0,0,0,0
Central African Republic,134,0,0,7,0,4,17,0,0,,4,6,0,0,0,,0,0,0,,0,0,17,8,,0,0,0,,0,,0,9,0,10,0,0,4,0,,3,0,0,0,0,8,8,0,0,10,0,7,0,0,,0
Chad,171,0,0,7,0,,0,,0,3,,9,0,0,0,0,29,,0,,,0,13,,0,,0,,,5,0,0,11,0,43,,0,3,,,,0,0,,0,0,15,0,0,0,0,9,,,0,0
Chile,1853,6,,31,8,231,40,48,5,9,443,48,0,6,6,38,11,6,,6,8,,60,32,9,24,,9,,3,14,0,106,13,175,40,0,14,3,19,44,19,3,4,0,12,142,0,0,55,4,38,42,,9,
China,87016,317,47,687,171,23117,734,734,222,122,1910,1260,118,864,134,2816,561,245,273,302,337,124,1494,2959,1010,578,128,516,49,162,689,126,2503,137,27358,1119,34,1065,276,722,2227,75,134,294,51,510,3365,7,85,298,51,1405,1962,74,431,
Colombia,22635,79,23,119,30,1290,128,443,32,33,8161,813,0,18,22,369,56,19,55,37,83,17,298,693,80,100,26,56,12,44,115,60,2564,45,2805,469,5,130,56,57,338,161,197,250,7,94,1409,4,,96,,397,135,11,82,8
Comoros,8,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
Congo DR,2424,16,6,117,,88,89,23,0,4,24,157,0,,62,214,27,44,5,72,7,23,92,73,48,37,,52,0,14,25,22,17,7,120,165,10,49,7,42,63,0,,10,32,25,386,0,0,34,7,49,42,,10,
Congo R,1371,3,,32,0,53,37,15,3,,18,88,0,0,16,124,19,17,8,36,3,9,58,39,24,17,,25,0,22,11,3,11,11,92,122,15,38,3,15,27,0,6,9,9,24,206,0,0,10,6,38,37,,5,
Cook Islands,3,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Costa Rica,2135,9,0,28,5,172,19,32,3,3,432,80,0,3,3,24,18,,13,9,18,,35,55,26,11,4,17,0,4,20,6,449,7,115,137,,19,5,7,58,10,3,41,0,22,131,0,0,7,,27,28,0,13,0
Cote d'Ivoire,1302,3,0,25,0,40,16,20,11,12,33,86,0,,0,29,13,14,4,3,3,,132,30,16,20,,13,0,12,4,0,50,,357,38,6,33,0,,89,0,13,6,8,7,76,0,0,6,,40,20,,5,0
Croatia,349,,0,5,,53,3,3,,7,30,7,0,,,22,3,3,0,,4,0,8,13,7,,0,4,0,,4,,16,0,64,6,,12,0,,3,0,,,0,3,25,0,0,4,,9,6,0,6,0
Cuba,36452,39,5,267,8,354,71,53,14,9,29700,254,0,0,,120,22,14,59,561,115,4,37,48,99,24,11,180,0,186,690,8,798,104,442,167,0,43,27,81,170,153,0,30,6,108,1137,0,7,13,0,127,61,0,21,
Cyprus,101,0,0,,0,23,,,0,,6,0,0,,0,5,,0,0,,0,0,,3,4,0,,,0,0,,,8,,20,0,0,0,,0,,0,0,,0,0,6,0,0,0,0,3,3,0,,0
Czech Republic,303,,,3,0,60,3,3,,10,39,9,0,,,20,,,,,,,4,7,11,,3,0,,0,5,,11,0,30,9,0,5,,,8,0,,5,0,,12,0,0,,0,7,14,0,,0
Czechoslovakia,466,6,0,3,,69,13,6,0,,79,16,0,,,52,,,,,,,6,10,3,,,,,0,3,0,15,,46,17,0,7,,5,22,0,,3,0,5,14,0,0,5,3,17,6,0,7,
Denmark,459,3,,4,0,97,14,14,0,4,45,16,0,,0,11,6,,,,3,,9,8,8,6,,3,,0,5,0,25,0,42,18,3,4,,8,10,,,4,3,3,32,0,0,,0,10,19,0,5,0
Djibouti,56,0,0,0,0,,,0,0,,,,0,0,0,,0,0,0,0,0,,,,,17,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,,5,0,0,0,0,8,10,0,0,0
Dominica,287,0,0,0,0,7,0,12,3,,31,11,0,0,0,,0,0,0,0,,,4,9,0,0,0,,0,0,0,0,30,0,75,0,0,0,,0,5,4,0,,0,0,17,0,62,0,0,3,,,0,0
Dominican Republic,46109,18,98,61,7,146,25,779,58,87,3248,236,0,3,,146,96,15,26,18,121,10,436,3889,95,27,23,34,0,18,57,122,7229,6,22154,292,7,156,24,18,2024,2227,1028,57,3,43,285,,341,28,6,180,24,15,59,0
