Origin	Total	Alabama	Alaska	Arizona	Arkansas	California	Colorado	Connecticut	Delaware	District of Columbia	Florida	Georgia	Guam	Hawaii	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	North Carolina	North Dakota	Ohio	Oklahoma	Oregon	Pennsylvania	Puerto Rico	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	U.S. Armed Services Posts	U.S. Territories	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming
Total	990553	3848	1460	16097	2900	191806	11108	10985	2325	2981	102939	24387	1210	6226	2120	35988	7668	4105	5000	5159	4355	1208	25361	29482	16952	12781	1716	6345	445	4141	9886	2227	53082	3664	133601	16798	1234	13819	4648	7171	24720	2942	3337	4266	1231	8380	92674	112	1267	5503	838	27861	22994	760	5918	522
Africa	98304	456	107	1102	169	7321	1846	860	459	1106	2730	4268		56	190	3027	1177	742	674	926	344	399	7824	5037	1439	4672	154	1051	35	670	813	212	5387	136	10486	2419	293	3304	545	603	3703	15	707	400	271	1926	8901	13		515	65	5002	2940	117	627	54
Asia	400548	1877	888	4900	1109	102464	3899	3568	959	732	13023	10369	1176	5437	762	15863	3818	1799	2100	2307	1866	395	9615	9797	10687	5017	857	3152	180	1657	3829	1156	19533	936	54065	7136	687	6901	2034	3217	11554	113	592	1693	728	3739	30819	64	456	1782	475	13435	11993	391	2797	150
Europe	86556	384	166	1082	178	12861	1049	1672	183	384	7983	1849	15	264	214	6887	623	288	272	366	377	177	1674	3770	2170	834	111	697	98	155	804	328	4761	221	13630	1557	92	1564	279	848	2978	86	268	593	67	646	4304	15	29	383	135	2182	3113	71	739	80
North America	315660	896	193	8476	1279	60689	3628	2857	597	539	56577	5668		203	835	8514	1650	1107	1744	1336	1442	185	4527	7799	2171	1620	473	1131	91	1502	3858	340	14398	2259	40097	4080	133	1459	1544	2117	5051	2294	1369	1029	144	1669	43218		750	1701	115	4573	3978	123	1431	190
Northern America	180632	418	142	1121	406	14781	711	2692	420	500	53431	3104	0	137	128	1779	594	364	388	959	1027	169	4148	7556	1079	731	208	546	60	592	1492	285	13575	209	38408	2187	84	851	295	563	4285	2203	1311	590	101	729	8082	0	750	472	115	3810	1490	93	402	55
Oceania	5277	21	42	67	11	1857	112	57	3		177	80	4	126	27	104	48	24	10	21	20	10	49	116	66	60	3	42		16	63		123	10	484	77	3	58	12	128	84	3	9	24		51	280		3	197	6	91	320		18	
Latin America	215973	679	111	7775	1005	51885	3458	2103	297	237	25382	4647	0	156	791	8183	1376	883	1532	562	694	53	1963	3114	1451	1430	371	842	61	1036	2836	231	9497	2146	16073	3343	72	1089	1473	1786	1991	511	439	960	43	1265	39975	6	18	2150	42	3279	3077	84	1311	170
South America	80945	201	60	420	132	5977	541	1938	120	198	22236	2083		90	84	1448	320	140	176	185	279	37	1584	2871	359	541	106	257	30	126	470	176	8674	96	14384	1450	23	481	224	232	1225	420	381	521		325	4839	6	18	921	42	2516	589	54	282	35
Afghanistan	2196	13	0	36		748	21	26	6	12	27	61	0		42	36	11	8	8	9	11	13	53	9	10	9		29	3	11	6		50	6	228	23	0	21	3	24	24	0	0	3	3	16	140	0	0	13	0	363	51		4	0
Albania	3186	4	3	29	4	96	5	167	6		283	19	0		3	197	6	0		0		4	10	347	470	9	0	47			15	17	160		794	11		55	7		222	3	3	4		9	68	0	0	0		47	16	0	30	0
Algeria	1241		0	5		197	30	21			43	28	0			70	13		32	6	18		10	70	20	11	0	9	0	0			65		160	14	0	53	5	6	144		5	4	0	4	97	0	0		0	54	24	0	5	0
American Samoa		0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Andorra	3	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Angola	143	0	0		0	3			0	4	8	3	0	0	0	8	3	0	0		0	7	3	42			0	0	0	0		0	7		9	4	0		0	0	8	0	5	0	0		12	0	0	0				0	0	0
Anguilla	22	0	0	0		0	0	0	0	0	3	6	0	0	0	0		0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0		0		0	0	0	0	0	0	0
Antigua-Barbuda	344	0	0				0	6			51	12	0	0	0		0	0	0			0	6	10			0	0	0	0	6		10	0	168	9	0		0	0	10		0	3	0	0	4	0	31	0	0		0	0		0
Argentina	4372	13	3	28	17	516	41	50	6	12	1564	72	0	12	9	81	14	14	9	14	10	6	99	70	26	42	10	19		9	67		221	6	377	66	3	31	12	29	77	28	10	24	0	35	313	0		105	0	110	47	3	36	
Armenia	2722	0	0	24		2083	9	3			32	7		0		13	3	5			7		24	47	14	7		5			66		34	0	149	10	0	22	0	6	24	0	3	9	0	8	20	0	0	18		16	34	0		0
Aruba	45	0	0	0		3	0		0	0	10		0	0	0		0	0	0		0	0	0		0	4	3	0	0	0	0	0	0	0	7		0	0	0	0		0	0	0	0		0	0		0	0		0	0	0	0
Australia	2759	12	9	35	10	696	70	41	3	14	128	55		23	15	79	33	16	7	16	15	6	34	81	49	41		14	6	9	43	10	92	5	387	53	3	41	8	29	65	3	5	16	0	39	196			33	4	55	127		11	10
Austria	415	3	3	7		102	11	4	0	3	42	10	0	8		15	0					0	8	11	9	7	0			3		4	18		59	8	0	5	0	3	6	0	0	3			17		0	0	0	10	15			
Azerbaijan	637	0		6		170		3	3		18	10	0	0		12	0	0	3	10		3	18	19	7	7		9		0	8		18	0	142	8	0	9	0	0	36	0	3		0	3	32		0		0	39	22	0		0
Bahamas	630	6	0			11	0	6	0		344	50	0	0	0	10	0			0	5	0	10	5	5	7	5		0	5	0	0	14		34	22	3	6	5		6	0	0	6		12	32	0	0	0	0	4		0	4	0
Bahrain	115		0		0	20				0	8		0	0	0	6		0		0	0	0	3		12		0		0	5	0	0	8	0	5		0			0	6	0	0	0	0		15	0	0	0	0	3			0	0
Bangladesh	12099	57	4	80	11	663	32	171	34	17	662	382	0	22	5	116	41		52	10	24		288	222	707	82	8	32	0	7	47	12	792	7	5604	64	6	72	48	12	412	0		25		53	631	0	16			478	66	3	12	0
Barbados	428	0	0			9		9	0		56	20	0	0	0	6		0		0	0	0	19	28		0	0	0	0	0		0	20	0	200	12		5			9	0			0		6	0	0	0	0	7	0	0	3	0
Belarus	1970	0		6		292	34	39	8	3	133	39	0		8	119	11	3		5	4	3	47	99	19	65		14	0		10	12	175		399	24		33	4	16	136	0	3	13	0	3	49	0	0			37	69		18	3
Belgium	675	5		15		114	7	8		5	68	20	0		4	16			5		13	3	19	22	17	7		4		0	4		48	3	81	11	0	13		12	20			5		8	56	0	0	4	0	21	12		5	
Belize	946			7	3	335	4	0			82	17	0	0	0	87	5			7	11	0	8	4	10	8	3		0		18	4	14	0	142	17				4	17	0		0	0	7	74	0	0			20	15	0		0
Benin	342		0		4	9	16		0			20	0	0	0	26	18			0	0	3	33	3	5	14	0	3	0	13	0	0	19	0	41	11	0	8	4	0	26	0			0	4	22	0	0		0	18	3	0		0
Bermuda	88	5	0	0		3			0		13	14	0	0	0	0		0	0		0			6			0	0	0	0	0	0	6	0	7	7	0			0	4	0		0	0	0	4	0	0	0	0	3		0	0	0
Bhutan	8954	0		223	0	91	261	26	0	0	38	638	0	0	97	277	16	69	69	211	10	0	275	310	192	85	0	148		163	17	221	9	14	763	301	174	663	0	109	1398	0	20	9	168	144	774	0	0	121	182	372	239	0	49	0
Bolivia	2071	4			6	175	13	18		15	274	13	0		6	39	6	0		5	6	0	116	43	6	7	10	5	0		21	0	90	8	143	22	0	10	5	7	15	4	73	16	0	5	134	0	0	19	4	691	11	3	14	0
Bosnia-Herzegovina	697	0	0	24		66	6	13	0		48	25	0	0	8	62	5	34	5	20	12		7	10	37	5	0	40	0		5	9	20		53	16	4	16		8	22	0	0		3	8	36	0	0	12	3	19	20	0	7	0
Botswana	53	0	0		0	3	0		0	0	4		0	0			0	0	0	0	0	0			0		0	0	0	0	0	0	0	0	6		0	5	0	0	5	0	0	0	0	0	5	0	0		0	3	3	0		0
Brazil	11033	38	9	70	21	1146	92	349	18	27	2496	438		32	19	184	53	26	26	36	49	11	204	1612	94	60	24	57	6	21	82	80	876	15	811	155	5	79	26	50	221	13	34	83	7	55	627	0		145	9	214	159	10	44	11
British Virgin Islands	45	0	0	0	0	0	0		0	0	10		0	0	0	0	0	0	0	0	0	0		0		0	0		0	0		0	0	0	8		0	0	0	0	0	0	0	0	0			0	16	0	0	0	0	0	0	0
Brunei	21	0	0	0	0	6	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0			0		0	0	0	0	0	0		0		0	0		0		0	0	0	0	0	0	4	0	0	0	0	0		0	0	0
Bulgaria	2844	7	10	52	3	290	46	25	16	13	191	98	0	6	6	562	26	9	12	17	18	13	79	159	33	23		34	5	4	110	10	135	3	246	41	0	45	10	5	84		5	29	4	22	92	0		13	0	115	79		31	
Burkina Faso	585	3	0	4		17	7	0	0	7	10	36	0	3		4			0			0	34	10	11	7	0		0	14			38	0	192	6		32	4	5	23	0	0				53	0	0		0	16	8	5	14	0
Burma	12565	10	16	213	54	920	210	48	6	11	410	492	0	10	60	432	994	390	190	273	59		396	89	456	787		174	0	335	25	4	76	12	1086	484	3	232	376	101	209	0	21	107	168	260	1566	0	0	129	18	92	288	8	262	0
Burundi	260		0	18		5	4		0	0	8		0			0		6	0	22		22	10	7	4	4			0	4	0	3	4		13	3	4	15		0	10	0		0		12	51	0	0	3		9	3	0	0	0
Cambodia	2624	7	3	18	10	798	20	30		0	65	43	0	3	0	42	9	11	14	30	13	16	26	254	28	110	11	18		3	17	4	13	3	42	32		51	12	38	151	0	44	18		30	242	0	0	23		66	239	0	10	
