,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Total,660477,1343,849,12091,1214,181684,7829,4552,1094,1334,54563,14181,,4521,1261,38735,3652,2093,2406,2256,2240,728,11613,20952,10678,9124,657,4237,251,2188,8363,1821,35235,1704,73676,6606,415,9250,1812,5572,11371,,2088,1499,460,2927,53032,,3216,2777,468,14171,14671,310,4485,,6030
Africa,41652,122,31,567,52,3855,784,268,149,375,1277,2191,,49,28,1534,345,179,181,221,129,180,2332,2677,605,3382,50,466,3,285,340,134,2222,32,3713,781,95,1758,145,273,1197,,376,122,128,585,3445,0,23,139,40,1934,1078,29,255,6,485
Asia,238797,617,419,2733,375,81705,2245,1458,493,249,6134,5213,,3683,255,12833,1377,586,963,768,1098,232,4798,6529,5905,3322,345,1586,76,665,2791,649,13873,339,21361,2597,95,3820,720,2305,5160,,383,574,97,1205,17009,,1109,622,136,6825,6354,157,1806,,2101
Europe,86742,179,165,1516,94,13265,1420,1186,113,201,5007,1818,,232,329,10128,662,571,187,622,213,171,1181,3956,2687,1192,74,1348,73,212,795,461,5105,176,12163,945,147,2224,148,1289,2427,,369,311,143,437,2972,0,89,477,198,1492,3724,54,991,39,764
North America,241163,326,164,6831,631,76195,2959,1048,267,360,31585,3957,,278,593,12977,1094,699,956,499,661,122,2399,6013,1230,865,140,674,76,952,4039,380,8187,1066,25464,1756,68,1050,703,1443,1979,,757,305,78,551,27018,0,1742,1094,70,2414,2997,42,1229,85,2095
Northern America,37831,64,63,367,33,1762,218,331,63,101,3816,646,,105,47,408,130,48,65,70,85,100,562,2885,481,170,23,124,43,44,166,273,3666,53,14058,365,62,383,54,163,948,,471,92,24,98,1108,0,1434,118,65,416,538,18,139,15,339
Oceania,3342,5,33,63,8,1565,50,14,,14,86,35,,183,10,51,11,8,14,11,15,5,28,45,15,25,4,16,10,,35,12,44,12,118,34,0,20,6,87,33,,4,8,,9,119,0,20,97,6,63,209,3,21,,50
Latin America,251465,356,138,6841,649,79474,3107,1294,204,394,38182,4251,,269,592,13697,1123,701,995,554,692,40,2704,4858,965,1026,158,695,46,979,4234,292,10310,1087,22244,1877,16,1020,735,1455,1601,,485,385,54,586,28203,0,535,1323,23,3435,2765,49,1267,81,2245
South America,48133,94,37,377,51,5041,366,577,,135,10413,940,,96,46,1128,159,50,104,125,116,18,867,1730,216,331,41,145,13,71,361,185,5789,74,10838,486,10,353,86,175,570,,199,172,,133,2293,,227,347,18,1437,306,25,177,11,489
Afghanistan,2013,0,0,68,0,785,39,4,9,,52,44,,0,17,48,14,6,7,4,5,7,28,31,25,13,5,60,0,19,25,3,56,17,141,7,,13,,6,27,,,,6,6,88,0,0,15,,240,41,0,,0,23
