,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Total,694193,2439,1115,12784,1559,151183,7805,8370,1470,1016,87309,17761,675,3450,1473,29133,4085,1840,2687,2778,2496,999,15790,22812,10414,11044,965,4175,297,1876,8519,1607,33826,2434,76603,11360,369,9326,2966,5657,16162,1692,2682,4033,420,5396,52927,1167,686,3595,431,13782,17317,348,4434,228,6426
Africa,69738,324,58,1032,88,5686,1131,660,345,375,2388,3253,,53,80,2333,592,357,392,431,186,410,5017,3733,812,5401,68,652,20,483,649,202,3338,65,5770,1839,118,2680,387,471,2591,,602,435,141,1337,5409,90,11,339,74,2697,2460,37,437,19,1174
Asia,249940,1101,595,3156,547,78467,2133,2327,514,189,9868,6177,623,2665,337,10616,1635,521,1029,1066,1122,255,5317,6619,5739,3429,492,1581,83,483,3412,542,12553,451,26220,3857,97,3467,1112,1974,6700,,460,1352,100,2073,17671,388,78,789,118,6039,7108,159,1995,,2425
Europe,82209,296,191,1377,113,10760,1324,2014,152,142,7103,1936,,221,253,7569,560,357,177,533,208,179,1383,3585,2308,915,85,1018,89,154,852,402,4656,230,11460,1490,83,1611,280,1288,2734,54,,649,98,608,2953,154,17,406,130,1349,3962,63,712,33,666
North America,217750,553,175,6709,722,49466,2662,1840,362,207,43350,4419,9,234,724,7326,1057,531,922,566,757,116,2828,5555,1225,885,236,662,74,679,3110,250,7313,1591,22819,2833,57,1015,951,1678,3076,1305,1049,965,68,1012,23755,388,555,1320,69,2096,3063,54,1064,92,1351
Northern America,39330,96,76,437,26,1555,279,583,84,63,5194,781,9,94,61,435,152,61,58,93,132,72,633,2520,432,185,39,104,48,39,176,177,3540,45,12730,616,35,335,112,154,1507,1069,652,255,24,169,1161,75,522,143,62,467,596,22,155,15,271
Oceania,3734,,36,60,8,1568,73,25,3,8,100,57,13,157,14,51,13,9,14,17,7,5,40,79,33,23,8,40,7,,57,13,46,13,134,47,,37,21,74,42,0,,32,3,19,172,39,4,124,5,68,257,,20,,24
Latin America,248905,457,159,6715,776,53106,2863,2759,372,239,62629,5552,10,260,728,8100,1127,534,1015,632,829,78,3395,6276,1070,1090,273,770,50,640,3372,271,9687,1630,20267,3493,22,1168,1052,1696,2587,515,716,1309,54,1180,25532,421,50,1793,42,3151,2930,32,1113,90,1851
South America,70485,,60,443,80,5195,480,1502,94,95,24473,1914,10,120,65,1209,222,64,151,159,204,34,1200,3241,277,390,76,212,24,,438,198,5914,84,10178,1276,,488,213,172,1018,279,319,599,10,337,2938,108,17,616,35,1522,463,,204,13,771
Afghanistan,1998,0,0,85,0,661,32,20,5,0,32,53,0,0,19,33,5,5,5,5,3,4,29,29,23,7,0,33,,20,12,3,48,11,261,10,0,9,,20,25,0,,5,,17,94,0,0,18,0,247,29,0,,0,74
