,Total_2006,Africa_2006,Asia_2006,Europe_2006,Northern America_2006,Oceania_2006,Latin America_2006,Total_2007,Africa_2007,Asia_2007,Europe_2007,Northern America_2007,Oceania_2007,Latin America_2007,Total_2008,Africa_2008,Asia_2008,Europe_2008,Northern America_2008,Oceania_2008,Latin America_2008,Total_2009,Africa_2009,Asia_2009,Europe_2009,Northern America_2009,Oceania_2009,Latin America_2009,Total_2010,Africa_2010,Asia_2010,Europe_2010,Northern America_2010,Oceania_2010,Latin America_2010,Total_2011,Africa_2011,Asia_2011,Europe_2011,Northern America_2011,Oceania_2011,Latin America_2011,Total_2012,Africa_2012,Asia_2012,Europe_2012,Northern America_2012,Oceania_2012,Latin America_2012,Total_2013,Africa_2013,Asia_2013,Europe_2013,Northern America_2013,Oceania_2013,Latin America_2013,Abbreviations
Alabama,1946.0,156.0,983.0,326.0,86.0,10.0,381.0,1343.0,122.0,617.0,179.0,64.0,5.0,356.0,1982.0,129.0,934.0,266.0,102.0,8.0,539.0,1775.0,185.0,864.0,230.0,84.0,8.0,400.0,2027.0,202.0,1037.0,232.0,128.0,6.0,419.0,2439.0,324.0,1101.0,296.0,96.0,,457.0,2084.0,243.0,882.0,209.0,107.0,4.0,627.0,1811.0,224.0,844.0,200.0,67.0,7.0,458.0,AL
Alaska,831.0,26.0,419.0,159.0,58.0,27.0,140.0,849.0,31.0,419.0,165.0,63.0,33.0,138.0,1145.0,38.0,586.0,192.0,87.0,37.0,204.0,1100.0,44.0,567.0,220.0,71.0,47.0,150.0,831.0,67.0,395.0,173.0,51.0,38.0,107.0,1115.0,58.0,595.0,191.0,76.0,36.0,159.0,1186.0,70.0,680.0,220.0,62.0,33.0,121.0,1083.0,73.0,550.0,177.0,82.0,58.0,139.0,AK
Arizona,9707.0,528.0,2437.0,1595.0,351.0,67.0,4720.0,12091.0,567.0,2733.0,1516.0,367.0,63.0,6841.0,24055.0,790.0,4490.0,2220.0,629.0,89.0,15816.0,12377.0,741.0,3619.0,1346.0,400.0,83.0,6178.0,10340.0,942.0,3202.0,1259.0,393.0,52.0,4488.0,12784.0,1032.0,3156.0,1377.0,437.0,60.0,6715.0,13090.0,1128.0,3062.0,1309.0,346.0,74.0,7152.0,13165.0,1136.0,3579.0,1167.0,387.0,70.0,6801.0,AZ
Arkansas,1133.0,55.0,391.0,106.0,34.0,,539.0,1214.0,52.0,375.0,94.0,33.0,8.0,649.0,2330.0,84.0,732.0,147.0,41.0,5.0,1318.0,1648.0,67.0,608.0,119.0,38.0,8.0,804.0,1275.0,64.0,531.0,100.0,34.0,4.0,541.0,1559.0,88.0,547.0,113.0,26.0,8.0,776.0,1605.0,85.0,601.0,107.0,27.0,4.0,778.0,1567.0,79.0,555.0,106.0,26.0,9.0,792.0,AR
California,152836.0,4206.0,77511.0,13246.0,1681.0,1531.0,54589.0,181684.0,3855.0,81705.0,13265.0,1762.0,1565.0,79474.0,297909.0,4968.0,109898.0,17573.0,2481.0,2192.0,160683.0,179754.0,5426.0,86570.0,12055.0,1872.0,1531.0,72161.0,129354.0,5480.0,74328.0,9987.0,1636.0,1491.0,36379.0,151183.0,5686.0,78467.0,10760.0,1555.0,1568.0,53106.0,158850.0,5491.0,81444.0,11241.0,1471.0,1569.0,57311.0,164792.0,5763.0,84764.0,11455.0,1571.0,1527.0,59608.0,CA
Colorado,5526.0,597.0,1671.0,1212.0,197.0,63.0,1777.0,7829.0,784.0,2245.0,1420.0,218.0,50.0,3107.0,11972.0,989.0,3208.0,2077.0,364.0,148.0,5184.0,6813.0,891.0,2165.0,1217.0,223.0,102.0,2210.0,7165.0,1083.0,2178.0,1299.0,305.0,95.0,2202.0,7805.0,1131.0,2133.0,1324.0,279.0,73.0,2863.0,7726.0,1353.0,2071.0,1284.0,247.0,86.0,2657.0,6263.0,1039.0,1819.0,1013.0,181.0,73.0,2125.0,CO
Connecticut,7231.0,467.0,2138.0,1967.0,459.0,20.0,2175.0,4552.0,268.0,1458.0,1186.0,331.0,14.0,1294.0,9589.0,504.0,2667.0,2260.0,783.0,23.0,3348.0,10421.0,723.0,3194.0,2565.0,750.0,36.0,3142.0,7452.0,600.0,2371.0,1900.0,918.0,25.0,1638.0,8370.0,660.0,2327.0,2014.0,583.0,25.0,2759.0,8332.0,609.0,2158.0,1838.0,615.0,34.0,3022.0,9253.0,676.0,2493.0,2001.0,805.0,25.0,2934.0,CT
Delaware,1187.0,153.0,492.0,155.0,68.0,4.0,315.0,1094.0,149.0,493.0,113.0,63.0,,204.0,1425.0,163.0,600.0,148.0,97.0,4.0,413.0,1545.0,241.0,703.0,149.0,83.0,,282.0,1829.0,345.0,810.0,198.0,153.0,3.0,320.0,1470.0,345.0,514.0,152.0,84.0,3.0,372.0,1456.0,359.0,485.0,146.0,71.0,,303.0,1460.0,296.0,559.0,124.0,84.0,,229.0,DE
District of Columbia,1089.0,315.0,197.0,175.0,87.0,13.0,302.0,1334.0,375.0,249.0,201.0,101.0,14.0,394.0,1492.0,379.0,281.0,159.0,127.0,7.0,538.0,2188.0,620.0,397.0,294.0,183.0,31.0,663.0,1319.0,485.0,211.0,210.0,128.0,11.0,273.0,1016.0,375.0,189.0,142.0,63.0,8.0,239.0,1958.0,743.0,336.0,242.0,126.0,9.0,509.0,1854.0,657.0,342.0,237.0,128.0,,459.0,DC
Florida,90846.0,2083.0,10255.0,8742.0,6865.0,125.0,62647.0,54563.0,1277.0,6134.0,5007.0,3816.0,86.0,38182.0,128328.0,2114.0,10522.0,8352.0,9020.0,134.0,97926.0,82788.0,2284.0,9769.0,6738.0,5628.0,116.0,58141.0,67484.0,2206.0,9142.0,6063.0,7764.0,98.0,42184.0,87309.0,2388.0,9868.0,7103.0,5194.0,100.0,62629.0,100890.0,2019.0,8982.0,6445.0,5555.0,100.0,77020.0,101773.0,2135.0,9363.0,6645.0,6298.0,126.0,63093.0,FL
Georgia,19785.0,3438.0,7950.0,3028.0,845.0,78.0,4426.0,14181.0,2191.0,5213.0,1818.0,646.0,35.0,4251.0,20417.0,2787.0,7003.0,2379.0,1131.0,45.0,7039.0,15408.0,2777.0,5623.0,1791.0,721.0,62.0,4410.0,18253.0,3657.0,7079.0,1950.0,1538.0,52.0,3975.0,17761.0,3253.0,6177.0,1936.0,781.0,57.0,5552.0,17093.0,3215.0,5684.0,1885.0,768.0,51.0,5433.0,19534.0,3513.0,7011.0,1958.0,928.0,73.0,5670.0,GA
Hawaii,5276.0,79.0,3917.0,266.0,162.0,318.0,529.0,4521.0,49.0,3683.0,232.0,105.0,183.0,269.0,5205.0,42.0,4286.0,229.0,90.0,209.0,345.0,3744.0,75.0,2843.0,216.0,77.0,186.0,346.0,3190.0,91.0,2252.0,235.0,119.0,205.0,288.0,3450.0,53.0,2665.0,221.0,94.0,157.0,260.0,3144.0,38.0,2418.0,212.0,96.0,148.0,224.0,3494.0,50.0,2770.0,208.0,76.0,142.0,242.0,HI
Idaho,980.0,18.0,176.0,349.0,50.0,12.0,374.0,1261.0,28.0,255.0,329.0,47.0,10.0,592.0,2240.0,43.0,358.0,436.0,74.0,17.0,1312.0,1674.0,60.0,396.0,322.0,71.0,12.0,813.0,1102.0,74.0,234.0,235.0,48.0,12.0,499.0,1473.0,80.0,337.0,253.0,61.0,14.0,728.0,1384.0,111.0,325.0,244.0,53.0,15.0,635.0,1305.0,118.0,391.0,233.0,59.0,11.0,493.0,ID
Illinois,30156.0,1383.0,10745.0,8911.0,382.0,46.0,8586.0,38735.0,1534.0,12833.0,10128.0,408.0,51.0,13697.0,45224.0,1755.0,14070.0,11778.0,514.0,71.0,16966.0,28112.0,1606.0,9798.0,8353.0,311.0,44.0,7916.0,26180.0,2022.0,10780.0,6969.0,514.0,50.0,5815.0,29133.0,2333.0,10616.0,7569.0,435.0,51.0,8100.0,28376.0,2437.0,10255.0,7145.0,427.0,66.0,7980.0,27706.0,2187.0,10862.0,6951.0,455.0,63.0,7095.0,IL
Indiana,3885.0,376.0,1564.0,798.0,169.0,9.0,959.0,3652.0,345.0,1377.0,662.0,130.0,11.0,1123.0,5104.0,456.0,1829.0,817.0,175.0,27.0,1796.0,4261.0,491.0,1716.0,671.0,134.0,21.0,1222.0,3866.0,583.0,1659.0,521.0,166.0,16.0,912.0,4085.0,592.0,1635.0,560.0,152.0,13.0,1127.0,4146.0,624.0,1539.0,605.0,139.0,10.0,1212.0,4369.0,654.0,1815.0,557.0,145.0,,1152.0,IN
Iowa,805.0,47.0,245.0,231.0,20.0,0.0,262.0,2093.0,179.0,586.0,571.0,48.0,8.0,701.0,3503.0,276.0,1043.0,806.0,81.0,10.0,1286.0,2198.0,273.0,812.0,428.0,60.0,6.0,614.0,1858.0,319.0,663.0,375.0,52.0,6.0,443.0,1840.0,357.0,521.0,357.0,61.0,9.0,534.0,2255.0,468.0,656.0,461.0,46.0,16.0,605.0,2503.0,551.0,819.0,449.0,61.0,11.0,609.0,IA
Kansas,2509.0,170.0,1110.0,239.0,66.0,18.0,898.0,2406.0,181.0,963.0,187.0,65.0,14.0,995.0,4072.0,264.0,1553.0,310.0,84.0,22.0,1834.0,3129.0,331.0,1276.0,238.0,64.0,13.0,1203.0,2492.0,325.0,1039.0,194.0,75.0,16.0,839.0,2687.0,392.0,1029.0,177.0,58.0,14.0,1015.0,2905.0,469.0,1050.0,240.0,60.0,18.0,1051.0,2761.0,377.0,1191.0,175.0,62.0,,932.0,KS
Kentucky,2049.0,176.0,759.0,600.0,89.0,16.0,401.0,2256.0,221.0,768.0,622.0,70.0,11.0,554.0,3093.0,292.0,1091.0,805.0,110.0,14.0,770.0,2390.0,319.0,871.0,499.0,98.0,25.0,565.0,2398.0,363.0,960.0,441.0,99.0,18.0,516.0,2778.0,431.0,1066.0,533.0,93.0,17.0,632.0,2686.0,469.0,923.0,455.0,85.0,16.0,726.0,3341.0,655.0,1197.0,464.0,77.0,12.0,893.0,KY
Louisiana,1336.0,79.0,660.0,136.0,65.0,7.0,377.0,2240.0,129.0,1098.0,213.0,85.0,15.0,692.0,3018.0,135.0,1368.0,199.0,120.0,13.0,1174.0,3402.0,203.0,1702.0,244.0,137.0,14.0,1081.0,2423.0,198.0,1178.0,194.0,138.0,9.0,699.0,2496.0,186.0,1122.0,208.0,132.0,7.0,829.0,2344.0,189.0,1023.0,187.0,127.0,9.0,785.0,2543.0,181.0,1107.0,220.0,160.0,15.0,827.0,LA
Maine,802.0,188.0,236.0,206.0,114.0,3.0,54.0,728.0,180.0,232.0,171.0,100.0,5.0,40.0,924.0,219.0,280.0,221.0,117.0,5.0,82.0,729.0,175.0,254.0,142.0,76.0,7.0,75.0,839.0,250.0,274.0,156.0,97.0,10.0,52.0,999.0,410.0,255.0,179.0,72.0,5.0,78.0,941.0,394.0,221.0,192.0,58.0,6.0,70.0,988.0,319.0,312.0,168.0,94.0,10.0,77.0,ME
