State,Total_2006,Africa_2006,Asia_2006,Europe_2006,Northern America_2006,Oceania_2006,Latin America_2006,Total_2007,Africa_2007,Asia_2007,Europe_2007,Northern America_2007,Oceania_2007,Latin America_2007,Total_2008,Africa_2008,Asia_2008,Europe_2008,Northern America_2008,Oceania_2008,Latin America_2008,Total_2009,Africa_2009,Asia_2009,Europe_2009,Northern America_2009,Oceania_2009,Latin America_2009,Total_2010,Africa_2010,Asia_2010,Europe_2010,Northern America_2010,Oceania_2010,Latin America_2010,Total_2011,Africa_2011,Asia_2011,Europe_2011,Northern America_2011,Oceania_2011,Latin America_2011,Total_2012,Africa_2012,Asia_2012,Europe_2012,Northern America_2012,Oceania_2012,Latin America_2012,Total_2013,Africa_2013,Asia_2013,Europe_2013,Northern America_2013,Oceania_2013,Latin America_2013
Alabama,4278,441,1739,648,592,24,818,3393,385,1489,489,363,19,643,3877,332,1680,507,484,25,845,3891,582,1644,419,472,22,737,3740,519,1840,434,361,14,550,4063,546,2000,406,472,30,601,3873,519,1784,330,434,7,793,3848,456,1877,384,418,21,679
Alaska,1554,40,819,293,177,41,180,1617,68,966,222,156,42,160,1534,68,813,267,176,51,157,1608,83,958,221,170,42,132,1703,108,948,251,184,46,166,1799,125,1074,243,180,46,128,1612,118,910,186,197,37,163,1460,107,888,166,142,42,111
Arizona,21530,1804,4628,2235,1918,122,10783,17528,1250,4291,1745,1415,91,8711,20638,1711,4417,1673,1580,83,11154,20997,2559,5615,1454,1427,89,9839,18243,1402,6189,1188,1168,87,8194,20333,1502,7554,1157,1218,79,8806,18434,1517,6225,967,1091,83,8535,16097,1102,4900,1082,1121,67,7775
Arkansas,2926,143,959,274,417,24,1103,2722,118,878,258,377,9,1074,2997,116,902,224,357,11,1385,2942,146,899,188,411,23,1271,2684,148,998,201,326,7,998,2874,142,1075,167,396,12,1079,2795,129,1077,180,354,9,1040,2900,169,1109,178,406,11,1005
California,264677,9384,121890,25822,27606,3001,76130,228941,8035,114231,19597,18941,2466,65352,238444,7783,111555,18496,17630,1900,80848,227876,8578,117446,14789,17056,2022,67764,208446,7138,114318,12202,15475,1893,57202,210591,7047,118087,11544,15543,1857,56316,196622,7150,107825,11121,13442,1732,55215,191806,7321,102464,12861,14781,1857,51885
Colorado,12714,1843,3460,2181,1008,160,4045,11039,1608,3237,1780,768,134,3501,12741,1799,3385,1779,850,120,4797,12841,2621,3600,1616,804,132,4058,12489,1886,4613,1387,759,144,3689,13547,2126,5166,1304,832,125,3982,13327,2471,5003,1086,824,128,3804,11108,1846,3899,1049,711,112,3458
Connecticut,18700,1220,4345,4312,3840,85,4870,12932,963,3917,2644,2688,48,2657,12190,1004,3762,2444,2702,66,2197,13632,1185,4013,2555,3152,61,2660,12222,972,3892,2082,3035,44,2185,12577,1023,4223,2062,3013,39,2213,12237,1093,3941,1952,2925,46,2271,10985,860,3568,1672,2692,57,2103
Delaware,2265,430,751,271,394,4,412,2085,412,812,213,310,8,329,2295,445,805,224,399,10,411,2184,507,787,213,367,6,302,2198,500,854,201,351,3,285,2355,476,1038,185,352,7,296,2208,497,857,156,403,6,289,2325,459,959,183,420,3,297
District of Columbia,3775,1240,654,485,980,26,378,2541,887,441,377,569,8,256,2652,870,543,411,531,25,267,2934,1006,549,438,631,24,283,2897,1037,609,376,626,12,232,2724,1001,578,365,512,15,249,2811,996,633,409,511,19,240,2981,1106,732,384,500,,237
Florida,155996,3690,16807,12463,72925,292,49571,126277,2964,14135,9161,59938,166,39754,133445,2786,12287,8637,72672,170,36694,127006,3157,12726,8808,65354,197,36611,107276,2744,13065,7363,56417,169,27384,109229,2601,13409,7325,58094,174,27517,103047,2614,13243,7160,54290,175,25479,102939,2730,13023,7983,53431,177,25382
Georgia,32202,6241,10414,3941,4401,147,6959,27353,4938,9489,3016,3872,104,5897,27769,5248,8762,2972,3941,96,6709,28396,5944,9900,2427,3820,101,6169,24833,4649,10173,1971,3300,77,4646,27015,5031,11310,1845,3434,77,5301,26134,4925,10911,1794,3353,53,5073,24387,4268,10369,1849,3104,80,4647
